Nº,Descripcion,CODIGO SKU,Marca,Producto,Rubro,Zona
220,SD Codo 90º 40MM Amanco,Nc-CD90º40MM-Pnt-Z3G,Nc,CD90º40MM,Pnt,Z3G
221,Awaduct Cupla de 63MM,O.V-C63MM-Sant-Z2B,O.V,C63MM,Sant,Z2B
222,Awaduct Cupla de 110MM,O.V-C110MM-Sant-Z2B,O.V,C110MM,Sant,Z2B
223,Awaduct Tapon 110MM,Prdtg-TAPON110-Frrt-Z1B,Prdtg,TAPON110,Frrt,Z1B
224,Awaduct Tapa 110,Pgl-TP110-Frrt-Z1B,Pgl,TP110,Frrt,Z1B
225,Awaduct Sifon de Pared,Pgl-SifonPared-Frrt-Z1B,Pgl,SifonPared,Frrt,Z1B
226,Awaduct Caño 50X50,Pei-CÑ50X50-Sant-Z2B,Pei,CÑ50X50,Sant,Z2B
227,Awaduct Caño 40X50,Pei-CÑ40X50-Sant-Z2B,Pei,CÑ40X50,Sant,Z2B
228,Amanco Caño 20MM Fusion Verde,Pei-CÑ20MMFsnVerde-Sant-Z2B,Pei,CÑ20MMFsnVerde,Sant,Z2B
229,Amanco Caño 25MM Fusion Verde,Pei-CÑ25MMFsnVerde-Sant-Z2B,Pei,CÑ25MMFsnVerde,Sant,Z2B
230,Amanco Caño 32MM Fusion Verde,Pei-CÑ32MMFsnVerde-Sant-Z2B,Pei,CÑ32MMFsnVerde,Sant,Z2B
231,Embutido C/ placa Led 7W Bt:Alther,Pei-EMBTPlcLed7W-Sant-Z2B,Pei,EMBTPlcLed7W,Sant,Z2B
232,Downligh Medida Linea (1;70) Cocina,Pei-DwnLMedida(1;70)-Sant-Z2B,Pei,DwnLMedida(1;70),Sant,Z2B
233,Downligh Medida Linea (1;20) Cocina y Oficina,AN-DwnLMedida(1;20)-Elect-Z1A,AN,DwnLMedida(1;20),Elect,Z1A
234,Empotrable 10 Luces 275MM 30L 20W Gyon Plus,AN-Empotrb10L275MM-Elect-Z1A,AN,Empotrb10L275MM,Elect,Z1A
235,Empotrable 5Luces 142MM 30L 10W Gyon Plus,AN-Empotrb5L142MM-Elect-Z1A,AN,Empotrb5L142MM,Elect,Z1A
236,Empotrable 2 Luces 63 MM 45L 14W Gyon Plus,AN-Empotrb2L63MM-Elect-Z1A,AN,Empotrb2L63MM,Elect,Z1A
237,Empotrable 1 Luzs 40 MM 45L 2W Gyon Plus,AN-Empotrb1L40MM-Elect-Z1A,AN,Empotrb1L40MM,Elect,Z1A
238,Aplique de Ext/Int GU10 1X7W Wing,AN-Aplque1X7W-Elect-Z1A,AN,Aplque1X7W,Elect,Z1A
239,Unidireccional Aluminio Negro Wing 1,Lux-UniAlNegro-Sant-Z2B,Lux,UniAlNegro,Sant,Z2B
240,Plafon 5 Luces 140MM C/Opticas 10W 30 Gyon,Aw-Plfn5L140MM-Sant-Z2B,Aw,Plfn5L140MM,Sant,Z2B
241,Downligh Perimetral Comedor 3000K (9;00M),Aw-DwnLPerimetralCOMEDOR9MM-Sant-Z2B,Aw,DwnLPerimetralCOMEDOR9MM,Sant,Z2B
242,Downligh Perimetral Pasillo 3000K (3;00M),AN-DwnLPerimetralPASILLO3MM-Elect-Z1A,AN,DwnLPerimetralPASILLO3MM,Elect,Z1A
243,Downligh Perimetral Toilett (1M),Pl-DwnLPerimetralTOILETT1MM-Elect-Z1A,Pl,DwnLPerimetralTOILETT1MM,Elect,Z1A
244,Downligh Perimetral Baño 3000K (2;00M),Pxmx-DwnLPerimetralBAÑO2MM-Crrln-Z1B,Pxmx,DwnLPerimetralBAÑO2MM,Crrln,Z1B
