Nº,Descripcion,CODIGO SKU,Marca,Producto,Rubro,Zona
94,Casablanca Interioir Mate Blanco (xLts) (Abierto),CB-PINT-Pnt-Z3G,CB,PINT,Pnt,Z3G
95,Casablanca Esmalte Sintetico MultiAccion 3 en 1 (xlts) (cerrado),CB-ESMA-Pnt-Z3G,CB,ESMA,Pnt,Z3G
96,Casablanca Interioir Mate Base A (xlts) (Abierto),CB-PINT-Pnt-Z3G,CB,PINT,Pnt,Z3G
97,Dixilina Diluyente a Base de Aguarras (xlts) (Abierto),Dx-DIL-Pnt-Z3G,Dx,DIL,Pnt,Z3G
98,Sherwin Williams Enduido Plastico Interioir Multiproposito (xlts) (Cerrado),SW-END-Pnt-Z3G,SW,END,Pnt,Z3G
99,Alba Albalatex Formula Avanzada (xlts),Alb-PINT-Pnt-Z3G,Alb,PINT,Pnt,Z3G
100,Solvex Diluyente para Sinteticos a base de Aguarras (xlts) (Abierto),Svx-DIL-Pnt-Z3G,Svx,DIL,Pnt,Z3G
101,Pegalo Sellador Acrilico Blanco (cc),Pgl-SLLDR-Frrt-Z1B,Pgl,SLLDR,Frrt,Z1B
102,Pegalo Silicona Neutra (cc),Pgl-SN-Frrt-Z1B,Pgl,SN,Frrt,Z1B
103,Poximix Mezcla Adhesiva Blanca (xkg),Pxmx-MAB-Crrln-Z1B,Pxmx,MAB,Crrln,Z1B
104,Perfiles para Tira Led Per12 para aplicar (x2mts cada uno),AN-PTL32-Elect-Z1A,AN,PTL32,Elect,Z1A
105,Perfiles para Tira Led Per14 embutir (x2mts cada uno),AN-PTL14-Elect-Z1A,AN,PTL14,Elect,Z1A
106,Perfiles para Tira Led Per11 embutir (x2mts cada uno),AN-PTL11-Elect-Z1A,AN,PTL11,Elect,Z1A
107,Perfiles para Tira Led Per32 para aplicar (x1/2mts cada uno),AN-PTL32-Elect-Z1A,AN,PTL32,Elect,Z1A
108,Perfiles Bidireccional Exteriores (x2mts cada uno),AN-PBE-Elect-Z1A,AN,PBE,Elect,Z1A
109,Reel para Spot Blanco de Aplicar (x2mts cada uno),AN-REEL-Elect-Z1A,AN,REEL,Elect,Z1A
110,Cocina Drean CD5502AI,Drn-CCNA-Eldom-Z2A,Drn,CCNA,Eldom,Z2A
111,Horno Longive H1500XF,Lngv-CCNA-Eldom-Z2A,Lngv,CCNA,Eldom,Z2A
112,Cocina Electrolux 56DXQ,Elclx-CCNA-Eldom-Z2A,Elclx,CCNA,Eldom,Z2A
113,Anafe Longive A2600XF,Lngv-CCNA-Eldom-Z2A,Lngv,CCNA,Eldom,Z2A
114,Vera-Lavatorio Monocomando Alto-Linea Vera (S-B),Vr-LavVera-Sant-Z2B,Vr,LavVera,Sant,Z2B
115,Peirano Soria-Bide Monocomando C/Transferencia-70-152-Linea Soria,Pei-BdeSor-Sant-Z2B,Pei,BdeSor,Sant,Z2B
116,Temple Juego Cocina Monoc.C/Rociador-0412/87-CR,Tmpl-CnaTmple-Sant-Z2B,Tmpl,CnaTmple,Sant,Z2B
117,Riel Embutir Magnetico Slim Negro Microled 3 metros 48V RMS-E-3M,AN-REMSL348-Elect-Z1A,AN,REMSL348,Elect,Z1A
118,Riel Embutir Magnetico Slim Negro Macroled 2 metros 48V RMS-E-2M,AN-REMSL248-Elect-Z1A,AN,REMSL248,Elect,Z1A
119,Acople Horizontal para Riel de Embutir Magnetico Slim Macroled RMS-CL-E,AN-ALHSM-Elect-Z1A,AN,ALHSM,Elect,Z1A
120,Tend 60x120 C&S Sunny In x 1;44 M2,Tend-PRCin144-Crrln-Z3G,Tend,PRCin144,Crrln,Z3G
121,Tend 60x120 C&S Sunny Out x 1;44M2,Tend-PRCout144-Crrln-Z3G,Tend,PRCout144,Crrln,Z3G
